"業種(飲食業）","業種（宿泊業）","施設名称","施設名称カナ","施設郵便番号","施設住所","施設住所(方書)","認証日","施設住所市町村"
"〇","","とん八　山形成沢店","トンパチ　ヤマガタナリサワテン","9902339","山形市成沢西4-11-40","","2021/07/15","山形市"
"〇","","とん八　米沢店","トンパチ　ヨネザワテン","9920044","米沢市春日4-4-3","","2021/10/04","米沢市"
"〇","","とんや酒田店","トンヤサカタテン","9980853","酒田市みずほ2-17-8","","2021/05/26","酒田市"
"〇","","道とん堀　山形嶋店","ドウトンボリ　ヤマガタシマテン","9900886","山形市嶋南3-15-27","","2021/06/25","山形市"
"〇","","独選炭火焼肉ひとりじめ","ドクセンスミビヤキニクヒトリジメ","9902445","山形市南栄町1-1-45","","2021/10/04","山形市"
"〇","","土蔵カフェ　FUJINOYA","ドゾウカフェ　フジノヤ","9997601","鶴岡市藤島字古楯跡28","","2021/05/28","鶴岡市"
"〇","","ドッグカフェ　雨やどり","ドッグカフェ　アマヤドリ","9971117","鶴岡市下川字龍花崎41-1034","","2021/07/21","鶴岡市"
"〇","","どんＱ製麺","ドンキュウセイメン","9900828","山形市双葉町1-3-47","","2021/10/04","山形市"
"〇","","どんぐり屋","ドングリヤ","9992241","南陽市郡山1090-4","ダイイチコーポ駅前1F102号","2021/06/21","南陽市"
"〇","","どんどん焼き　喰い処　けやき","ドンドンヤキ　クイドコロ　ケヤキ","9902444","山形市南四番町12-9","","2021/09/02","山形市"
"〇","","Don-be!59","ドンビーゴジュウキュウ","9980044","酒田市中町2-1-6","酒田北前横丁","2021/10/21","酒田市"
"〇","","ナイス　バーディ","ナイス　バーディ","9902481","山形市あかねヶ丘2-3-7","","2021/06/22","山形市"
"〇","","ナイトイリュージョン　魅衣","ナイトイリュージョン　ミイ","9993763","東根市神町中央2-6-25","","2021/06/07","東根市"
"〇","","ナイトインパブ　セトナ","ナイトインパブ　セトナ","9900042","山形市七日町4-10-5","","2021/05/18","山形市"
"〇","","ナイトスポット　TARENTO","ナイトスポット　タレント","9910031","寒河江市本町1-3-2","","2021/06/29","寒河江市"
"〇","","なおちゃん","ナオチャン","9920351","高畠町大字高畠1476-2","","2021/10/05","高畠町"
"〇","","なか卯 さくらんぼ東根駅前店","ナカウ　サクランボヒガシエエキマエテン","9993716","東根市さくらんぼ駅前1-7-25","","2021/10/05","東根市"
"〇","","なか卯 天童店","ナカウ　テンドウテン","9940024","天童市大字山元字鎌田2592","","2021/10/06","天童市"
"〇","","中川鮮魚店　会席なか川","ナカガワセンギョテン　カイセキナカガワ","9940044","天童市一日町2-5-3","","2021/10/08","天童市"
"","〇","中屋別館不動閣","ナカヤベッカンフドウカク","9921472","米沢市大字関1514","","2021/09/01","米沢市"
"〇","","和","ナギ","9900038","山形市幸町5-20","","2021/06/04","山形市"
"〇","","和み","ナゴミ","9970838","鶴岡市淀川町11-25","","2021/09/22","鶴岡市"
"〇","","和","ナゴミ","9910032","寒河江市南町2-1-1","","2021/06/28","寒河江市"
"〇","","和庭","ナゴミテイ","9920052","米沢市丸の内1-3-60","","2021/07/21","米沢市"
"〇","","なごみ処　一縁","ナゴミドコロ　イチエン","9900039","山形市香澄町2-11-2","","2021/06/09","山形市"
"〇","","和ゆう膳","ナゴミユウゼン","9900039","山形市香澄町2-6-16","","2021/08/16","山形市"
"〇","","ナチュラル","ナチュラル","9940025","天童市鎌田本町1-5-6","","2021/07/26","天童市"
"〇","","ナチュラルグラッチェ　be食","ナチュラルグラッチェ　ビショク","9902313","山形市松原378-14","","2021/06/25","山形市"
"〇","","なな川","ナナカワ","9993153","上山市十日町4-6","","2021/07/05","上山市"
"〇","","NANA starring","ナナスターリング","9900042","山形市七日町1-2-50","1F北","2021/09/24","山形市"
"〇","","七日町酒場SABOTEN","ナノカマチサカバサボテン","9900042","山形市七日町4-1-31","道産子ビル1Ｆ","2021/08/17","山形市"
"","〇","滑川温泉　福島屋","ナメガワオンセン　フクシマヤ","9921303","米沢市大字大沢字滑川15","","2021/10/11","米沢市"
"","〇","奈良館","ナラカン","9970029","鶴岡市日吉町2-35","","2021/06/14","鶴岡市"
"〇","","楢下宿丹野こんにゃく　天童店","ナラゲシュクタンノコンニャクテンドウテン","9940028","天童市鍬ノ町2-3-66","","2021/05/08","天童市"
"","〇","ナリサワペンション","ナリサワペンション","9993114","上山市蔵王坊平高原","","2021/07/21","上山市"
"〇","","なる鮨","ナルズシ","9902492","山形市鉄砲町1-4-21","村岡ビル内","2021/07/13","山形市"
"〇","","南部屋敷　酒田店","ナンブヤシキ　サカタテン","9980852","酒田市こがね町2-26-6","","2021/10/08","酒田市"
"〇","","南部屋敷イオンモール三川店","ナンブヤシキイオンモールミカワテン","9971316","三川町大字猪子字和田庫128-1","イオンモール三川　1Ｆ","2021/09/13","三川町"
"〇","","南部家敷山形店","ナンブヤシキヤマガタテン","9993101","上山市金瓶字林の陰10-1","","2021/10/07","上山市"
"","〇","なんようグリーンヒル","ナンヨウグリーンヒル","9920478","南陽市竹原2768-28","","2021/09/08","南陽市"
"〇","","29cafe KIRAKU","ニクカフェ　キラク","9910041","寒河江市塩水71","","2021/06/10","寒河江市"
"〇","","肉そば　すみどや","ニクソバ　スミドヤ","9900301","山辺町大字山辺232-2","","2021/09/22","山辺町"
"〇","","肉そば　まると","ニクソバ　マルト","9902447","山形市元木2-9-37","","2021/07/13","山形市"
"〇","","肉ばっか","ニクバッカ","9900042","山形市七日町4-9-13","","2021/10/18","山形市"
"〇","","ニクバル　グラッチェ","ニクバル　グラッチェ","9900039","山形市香澄町2-5-16","香澄ビル1F","2021/06/23","山形市"
"〇","","肉屋食堂","ニクヤショクドウ","9970032","鶴岡市上畑町8-50","","2021/10/04","鶴岡市"
"〇","","肉料理あんどう","ニクリョウリアンドウ","9950033","村山市楯岡新町2-11-3","","2021/10/01","村山市"
"","〇","西本屋旅館","ニシモトヤリョカン","9960301","大蔵村南山522","","2021/07/14","大蔵村"
"〇","","虹の華","ニジノハナ","9900042","山形市七日町5-10-19","YT15ビル1F","2021/07/21","山形市"
"〇","","日向里かふぇ","ニッコリカフェ","9998206","酒田市上黒川字家ノ東19-2","日向コミュニティセンター内","2021/06/21","酒田市"
"","〇","日本の宿　古窯","ニッポンノヤドコヨウ","9993292","上山市葉山5-20","","2021/05/08","上山市"
"〇","","弐番館　セリーヌ","ニバンカン　セリーヌ","9900039","山形市香澄町1-4-6","","2021/06/17","山形市"
"〇","","貮番丁","ニバンチョウ","9980045","酒田市二番町3-22","","2021/10/04","酒田市"
"〇","","Nibbles","ニブルス","9900042","山形市七日町2-7-15","","2021/06/14","山形市"
"〇","","日本海総合病院食堂","ニホンカイソウゴウビョウインショクドウ","9988501","酒田市あきほ町30","","2021/09/06","酒田市"
"〇","","日本料理　井井殿","ニホンリョウリ　セイセイデン","9930011","長井市館町北6-27","","2021/07/19","長井市"
"〇","","日本料理　淀川","ニホンリョウリ　ヨドガワ","9900042","山形市七日町5-10-35","","2021/07/21","山形市"
"〇","","日本料理　わたなべ","ニホンリョウリ　ワタナベ","9997636","鶴岡市野田目字家ノ腰41-2","","2021/05/20","鶴岡市"
"〇","","日本料理 花むら","ニホンリョウリハナムラ","9900039","山形市香澄町1-15-31","","2021/07/30","山形市"
"〇","","ニュー園","ニューソノ","9930086","長井市十日町2-5-31","","2021/10/08","長井市"
"〇","","二〇加屋大衆","ニワカヤタイシュウ","9900039","山形市香澄町2-2-40","第二柿崎ビル1F","2021/10/21","山形市"
"〇","","温もり中華そば　銀河","ヌクモリチュウカソバ　ギンガ","9970341","鶴岡市下山添一里塚152","","2021/08/26","鶴岡市"
"〇","","鼠ヶ関水産加工生産組合　しゃりん売店","ネズガセキスイサンカコウセイサンクミアイ　シャリンバイテン","9997121","鶴岡市早田戸ノ浦606","","2021/06/14","鶴岡市"
"〇","","寧々家　山形あかねヶ丘店","ネネヤ　ヤマガタアカネガオカテン","9902481","山形市あかねケ丘3-19-7　","","2021/10/07","山形市"
"〇","","寧々家　山形大野目店","ネネヤ　ヤマガタダイノメテン","9900073","山形市大野目2-57-1 ","","2021/10/08","山形市"
"〇","","寧々家　山形松見町店","ネネヤ　ヤマガタマツミチョウテン","9902413","山形市南原町3-21-20 ","","2021/10/18","山形市"
"","〇","農家民宿　阿部","ノウカミンシュク　アベ","9996403","戸沢村角川1469","","2021/09/03","戸沢村"
"","〇","農家民宿　果菜里庵","ノウカミンシュク　カナリアン","9995301","真室川町大字川の内2537","","2021/05/13","真室川町"
"","〇","農家民宿　三左衛門","ノウカミンシュク　サンザエモン","9996403","戸沢村大字角川1393-7","","2021/09/03","戸沢村"
"","〇","農家民宿　与惣右エ門","ノウカミンシュク　ヨソウエモン","9996403","戸沢村角川1200","","2021/09/03","戸沢村"
"","〇","農家民宿　若松屋","ノウカミンシュク　ワカマツヤ","9921471","米沢市大字立石8-1","","2021/06/10","米沢市"
"〇","〇","農家民宿安食　農家レストラン安食","ノウカミンシュクアジキ　ノウカレストランアジキ","9996314","戸沢村大字松坂348","","2021/08/16","戸沢村"
"〇","〇","農家民宿はちみつ屋","ノウカミンシュクハチミツヤ","9995521","真室川町大字大沢5599-2","","2021/06/17","真室川町"
"","〇","農家民宿ほたる","ノウカミンシュクホタル","9996403","戸沢村角川1314","","2021/09/29","戸沢村"
"","〇","農家民宿まつ乃","ノウカミンシュクマツノ","9995203","鮭川村大字川口956","","2021/08/26","鮭川村"
"〇","","農家レストラン　草木庵","ノウカレストラン　クサキアン","9950005","村山市大字櫤山113-1","","2021/10/12","村山市"
"〇","","農家レストラン　たらふく工房　満沢","ノウカレストラン　タラフクコウボウ　ミツザワ","9996107","最上町大字満沢309-1","","2021/08/10","最上町"
"","〇","野口ペンション","ノグチペンション","9993114","上山市永野字蔵王山国有林","","2021/07/30","上山市"
"〇","","のじ家","ノジヤ","9902462","山形市深町1-1-37","","2021/09/30","山形市"
"","〇","能登屋旅館","ノトヤリョカン","9994333","尾花沢市大字銀山新畑446","","2021/07/09","尾花沢市"
"","〇","のゝか本郷館","ノノカホンゴウカン","9993702","東根市温泉町2-1-1","","2021/07/06","東根市"
"〇","","呑喰処　笑","ノミクイドコロ　ワライ","9920045","米沢市中央1-7-5","","2021/09/22","米沢市"
"〇","","のみくい処幸生","ノミクイドコロサチウ","9910031","寒河江市本町1-4-8","","2021/09/06","寒河江市"
"〇","","呑み処　こすもす","ノミドコロ　コスモス","9900039","山形市香澄町3-5-20","丸久ビル301号","2021/06/09","山形市"
"〇","","飲み処　こはく","ノミドコロ　コハク","9960025","新庄市若葉町16-2","","2021/08/02","新庄市"
"〇","","吞処　ささや","ノミドコロ　ササヤ","9900039","山形市香澄町1-4-1","伊東ビル1F","2021/07/26","山形市"
"〇","","酔美處　ろばた","ノミドコロ　ロバタ","9910032","寒河江市南町3-2-30","","2021/06/21","寒河江市"
"〇","","音希","ノンキ","9900042","山形市七日町3-2-20","YTビルアネックス2F","2021/06/21","山形市"
